year,title,authors,venue,type,cited_by_count,doi,openalex_id
2026,Development of Highly Multiplex Targeted Proteomics Assays in Biofluids Using a Nominal Mass Ion Trap Mass Spectrometer,Deanna L. Plubell; Philip M. Remes; Christine C. Wu; Cristina C. Jacob; Gennifer E. Merrihew; Chris Hsu; Nick Shulman; Brendan MacLean; Lilian R. Heil; Kathleen L. Poston; Tom Montine; Michael J. MacCoss,Molecular & Cellular Proteomics,article,4,10.1016/j.mcpro.2026.101506,https://openalex.org/W7118677497
2026,Carafe2 enables high quality <i>in silico</i> spectral library generation for timsTOF data-independent acquisition proteomics,Bo Wen; J. Sebastian Paez; Chris Hsu; Daniele Canzani; Alexis Taylor Chang; Nicholas Shulman; Brendan MacLean; Matthew D. Berg; Judit Villén; William E. Fondrie; Lindsay K. Pino; Michael J. MacCoss; William Stafford Noble,bioRxiv (Cold Spring Harbor Laboratory),preprint,2,10.64898/2026.03.27.714846,https://openalex.org/W7147614722
2026,ToxBase: A Multidimensional ToxCast Reference Database for High-Throughput Human Exposome Analysis,Ryan Nguyen; Griffin Rangel; Xingzhu Liu; Reuben A. Santoso; Amogh Bantwal; Dylan H. Ross; Ryan P. Seguin; Jennifer Liem; Yvonne S. Lin; Brian Pratt; Brendan MacLean; Michael J. MacCoss; Libin Xu,Environmental Science & Technology,article,0,10.1021/acs.est.5c18068,https://openalex.org/W7163985775
2026,ToxBase: A MultidimensionalToxCast Reference Databasefor High-Throughput Human Exposome Analysis,Ryan Nguyen (17525032); Griffin Rangel; Xingzhu Liu; Reuben A. Santoso; Amogh Bantwal; Dylan H. Ross; Ryan P. Seguin; Jennifer Liem; Yvonne S. Lin; Brian Pratt; Brendan MacLean; Michael J. MacCoss (125430); Libin Xu (1314657),Figshare,article,0,10.1021/acs.est.5c18068.s001,https://openalex.org/W7164329610
2026,ToxBase: A MultidimensionalToxCast Reference Databasefor High-Throughput Human Exposome Analysis,Ryan Nguyen (17525032); Griffin Rangel; Xingzhu Liu (11632435); Reuben A. Santoso; Amogh Bantwal; Dylan H. Ross (4382326); Ryan P. Seguin; Jennifer Liem (18263606); Yvonne S. Lin; Brian Pratt (4179994); Brendan MacLean; Michael J. MacCoss (125430); Libin Xu (1314657),Figshare,dataset,0,10.1021/acs.est.5c18068.s002,https://openalex.org/W7164353556
2025,The ProteomeXchange consortium in 2026: making proteomics data FAIR,Eric W. Deutsch; Nuno Bandeira; Yasset Pérez‐Riverol; Vagisha Sharma; Jeremy Carver; Luis Mendoza; Deepti J Kundu; Chakradhar Bandla; Selvakumar Kamatchinathan; Suresh Hewapathirana; Zhi Sun; Shin Kawano; Shujiro Okuda; Brian Connolly; Brendan MacLean; Michael J. MacCoss; Tao Chen; Yunping Zhu; Yasushi Ishihama; Juan Antonio Vizcaíno,Nucleic Acids Research,article,33,10.1093/nar/gkaf1146,https://openalex.org/W4416059040
2025,Carafe enables high quality in silico spectral library generation for data-independent acquisition proteomics,Bo Wen; Chris Hsu; David Shteynberg; Wen‐Feng Zeng; Michael Riffle; Alexis Chang; Miranda C. Mudge; Brook L. Nunn; Brendan MacLean; Matthew D. Berg; Judit Villén; Michael J. MacCoss; William Stafford Noble,Nature Communications,article,12,10.1038/s41467-025-64928-4,https://openalex.org/W4415958287
2025,Evaluation of a prototype Orbitrap Astral Zoom mass spectrometer for quantitative proteomics – Beyond identification lists,Chris Hsu; Nicholas Shulman; Hamish Stewart; J. Petzoldt; Anna Pashkova; Deanna L. Plubell; Eduard Denisov; Bernd Hagedorn; Eugen Damoc; Brendan MacLean; Philip M. Remes; Jesse D. Canterbury; Alexander Makarov; Christian Hock; Vlad Zabrouskov; Christine C. Wu; Michael J. MacCoss,bioRxiv (Cold Spring Harbor Laboratory),preprint,10,10.1101/2025.05.30.657132,https://openalex.org/W4410939246
2025,Koina: Democratizing machine learning for proteomics research,Ludwig Lautenbacher; Kevin Yang; Tobias Kockmann; Christian Panse; Wassim Gabriel; Del Bold; Elias Kahl; Matthew Chambers; Brendan MacLean; Kai Li; Fengchao Yu; Brian C. Searle; Damien B. Wilburn; Mohammad Reza Zare Shahneh; Yuhui Hong; Haixu Tang; Mingxun Wang; Ralf Gabriels; Robbin Bouwmeester; Robbe Devreese; Jesse Angelis; Eduard Sabidó; Tobias Schmidt; Alexey I. Nesvizhskii; Mathias Wilhelm,Nature Communications,article,9,10.1038/s41467-025-64870-5,https://openalex.org/W4416112717
2025,Evaluation of a Prototype Orbitrap Astral Zoom Mass Spectrometer for Quantitative Proteomics─Beyond Identification Lists,Chris Hsu; Nicholas Shulman; Hamish Stewart; J. Petzoldt; Anna Pashkova; Deanna L. Plubell; Eduard Denisov; Bernd Hagedorn; Nicolaie Eugen Damoc; Brendan MacLean; Philip M. Remes; Jesse D. Canterbury; Alexander Makarov; Christian Hock; Vlad Zabrouskov; Christine C. Wu; Michael J. MacCoss,Journal of Proteome Research,article,7,10.1021/acs.jproteome.5c00593,https://openalex.org/W4415407403
