year,title,authors,venue,type,cited_by_count,doi,openalex_id
2025,The ProteomeXchange consortium in 2026: making proteomics data FAIR,Eric W. Deutsch; Nuno Bandeira; Yasset Pérez‐Riverol; Vagisha Sharma; Jeremy Carver; Luis Mendoza; Deepti J Kundu; Chakradhar Bandla; Selvakumar Kamatchinathan; Suresh Hewapathirana; Zhi Sun; Shin Kawano; Shujiro Okuda; Brian Connolly; Brendan MacLean; Michael J. MacCoss; Tao Chen; Yunping Zhu; Yasushi Ishihama; Juan Antonio Vizcaíno,Nucleic Acids Research,article,33,10.1093/nar/gkaf1146,https://openalex.org/W4416059040
2025,Comet Fragment-Ion Indexing for Enhanced Peptide Sequencing,Christopher D. McGann; Erik J. Bergstrom; Vagisha Sharma; Lilian R. Heil; Qing Yu; Jimmy K. Eng; Devin K. Schweppe,Journal of Proteome Research,article,4,10.1021/acs.jproteome.4c01094,https://openalex.org/W4411370226
2025,Comprehensive Proteomics Metadata and Integrative Web Portals Facilitate Sharing and Integration of LINCS Multiomics Data,D. Vidović; Behrouz Shamsaei; Stephan C. Schürer; Phillip Kogan; Szymon Chojnacki; Michal Kouril; Mario Medvedovic; Wen Niu; Evren U. Azeloglu; Marc R. Birtwistle; Yibang Chen; Tong Chen; Jens Hansen; Bin Hu; Ravi Iyengar; Gomathi Jayaraman; Hong Li; Tong Liu; Eric A. Sobie; Yuguang Xiong; Matthew J. Berberich; Gary A. Bradshaw; Mirra Chung; Robert A. Everley; Benjamin L. Gaudio; Marc Hafner; Marian Kalocsay; Caitlin E. Mills; Maulik K. Nariya; Peter K. Sorger; Kartik Subramanian; Chiara Victor; Maria G. Bañuelos; Victoria Dardov; Ronald J. Holewinski; Danica-Mae Manalo; Berhan Mandefro; Andrea Matlock; Loren Ornelas; Dhruv Sareen; Clive N. Svendsen; Vineet Vaibhav; Jennifer E. Van Eyk; Vidya Venkatraman; Steve Finkbiener; Ernest Fraenkel; Jeffrey D. Rothstein; Leslie M. Thompson; Jacob K. Asiedu; Steven A. Carr; Karen E. Christianson; Desiree Davison; Deborah Dele‐Oni; Katherine C. DeRuff; Shawn B. Egri; Alvaro Sebastian Vaca Jácome; Jacob D. Jaffe; Daniel D. Lam; Lev Litichevskiy; Xiaodong Lü; James Mullahoo; Adam Officer; Malvina Papanastasiou; Ryan Peckner; Caidin Toder; Joel Blanchard; Michael Bula; Tak Ko; Li‐Huei Tsai; Jennie Z. Young; Vagisha Sharma; Ajay Pillai; Jarek Meller; Michael J. MacCoss,Molecular & Cellular Proteomics,article,1,10.1016/j.mcpro.2025.100947,https://openalex.org/W4408392636
2025,Corrigendum to “Comprehensive Proteomics Metadata and Integrative Web Portals Facilitate Sharing and Integration of LINCS Multiomics Data”,D. Vidović; Behrouz Shamsaei; Stephan C. Schürer; Phillip Kogan; Szymon Chojnacki; Michal Kouril; Mario Medvedovic; Wen Niu; Evren U. Azeloglu; Marc R. Birtwistle; Yibang Chen; Tong Chen; Jens Hansen; Bin Hu; Ravi Iyengar; Gomathi Jayaraman; Hong Li; Tong Liu; Eric A. Sobie; Yuguang Xiong; Matthew J. Berberich; Gary A. Bradshaw; Mirra Chung; Robert A. Everley; Benjamin L. Gaudio; Marc Hafner; Marian Kalocsay; Caitlin E. Mills; Maulik K. Nariya; Peter K. Sorger; Kartik Subramanian; Chiara Victor; Maria G. Bañuelos; Victoria Dardov; Ronald J. Holewinski; Danica-Mae Manalo; Berhan Mandefro; Andrea Matlock; Loren Ornelas; Dhruv Sareen; Clive N. Svendsen; Vineet Vaibhav; Jennifer E. Van Eyk; Vidya Venkatraman; Steve Finkbiener; Ernest Fraenkel; Jeffrey D. Rothstein; Leslie M. Thompson; Jacob K. Asiedu; Steven A. Carr; Karen E. Christianson; Desiree Davison; Deborah Dele‐Oni; Katherine C. DeRuff; Shawn B. Egri; Alvaro Sebastian Vaca Jácome; Jacob D. Jaffe; Daniel D. Lam; Lev Litichevskiy; Xiaodong Lü; James Mullahoo; Adam Officer; Malvina Papanastasiou; Ryan Peckner; Caidin Toder; Joel Blanchard; Michael Bula; Tak Ko; Li‐Huei Tsai; Jennie Z. Young; Vagisha Sharma; Jarek Meller; Michael J. MacCoss,Molecular & Cellular Proteomics,erratum,0,10.1016/j.mcpro.2025.100995,https://openalex.org/W4413094228
2024,A Framework for Quality Control in Quantitative Proteomics,Kristine A. Tsantilas; Gennifer E. Merrihew; Julia Robbins; Richard S. Johnson; Jea Park; Deanna L. Plubell; Jesse D. Canterbury; Eric Huang; Michael Riffle; Vagisha Sharma; Brendan MacLean; Josh Eckels; Christine Wu; Michael S. Bereman; Sandra E. Spencer Miko; Andrew N. Hoofnagle; Michael J. MacCoss,Journal of Proteome Research,article,28,10.1021/acs.jproteome.4c00363,https://openalex.org/W4402363242
2024,A framework for quality control in quantitative proteomics,Kristine A. Tsantilas; Gennifer E. Merrihew; Julia Robbins; Richard S. Johnson; Jea Park; Deanna L. Plubell; Jesse D. Canterbury; Eric Huang; Michael Riffle; Vagisha Sharma; Brendan MacLean; Josh Eckels; Christine Wu; Michael S. Bereman; Sandra E. Spencer Miko; Andrew N. Hoofnagle; Michael J. MacCoss,bioRxiv (Cold Spring Harbor Laboratory),preprint,6,10.1101/2024.04.12.589318,https://openalex.org/W4394790058
2024,Comet fragment-ion indexing for enhanced peptide sequencing,Christopher D. McGann; Erik J. Bergstrom; Vagisha Sharma; Lilian R. Heil; Qing Yu; Jimmy K. Eng; Devin K. Schweppe,bioRxiv (Cold Spring Harbor Laboratory),preprint,2,10.1101/2024.10.11.617953,https://openalex.org/W4403422134
2022,The ProteomeXchange consortium at 10 years: 2023 update,Eric W. Deutsch; Nuno Bandeira; Yasset Pérez‐Riverol; Vagisha Sharma; Jeremy Carver; Luis Mendoza; Deepti J Kundu; Shengbo Wang; Chakradhar Bandla; Selvakumar Kamatchinathan; Suresh Hewapathirana; Benjamin Pullman; Julie Wertz; Zhi Sun; Shin Kawano; Shujiro Okuda; Yu Watanabe; Brendan MacLean; Michael J. MacCoss; Yunping Zhu; Yasushi Ishihama; Juan Antonio Vizcaíno,Nucleic Acids Research,article,876,10.1093/nar/gkac1040,https://openalex.org/W4308834828
2022,A Modified Feature Optimization Approach with Convolutional Neural Network for Apple Leaf Disease Detection,Vagisha Sharma; Amandeep Verma; Neelam Goel,Lecture notes in networks and systems,conference-paper,2,10.1007/978-3-030-96299-9_54,https://openalex.org/W4213271093
2021,Proteomic profiling dataset of chemical perturbations in multiple biological backgrounds,Deborah Dele‐Oni; Karen E. Christianson; Shawn B. Egri; Alvaro Sebastian Vaca Jácome; Katherine C. DeRuff; James Mullahoo; Vagisha Sharma; Desiree Davison; Tak Ko; Michael Bula; Joel Blanchard; Jennie Z. Young; Lev Litichevskiy; Xiaodong Lü; Daniel D. Lam; Jacob K. Asiedu; Caidin Toder; Adam Officer; Ryan Peckner; Michael J. MacCoss; Li‐Huei Tsai; Steven A. Carr; Malvina Papanastasiou; Jacob D. Jaffe,Scientific Data,data-paper,17,10.1038/s41597-021-01008-4,https://openalex.org/W3195784177
2021,Skyline Batch: An Intuitive User Interface for Batch Processing with Skyline,Alexandra N. Marsh; Vagisha Sharma; Surya K. Mani; Olga Vitek; Michael J. MacCoss; Brendan MacLean,Journal of Proteome Research,article,9,10.1021/acs.jproteome.1c00749,https://openalex.org/W4200628136
2020,A proteomic atlas of senescence-associated secretomes for aging biomarker development,Nathan Basisty; Abhijit Kale; Ok Hee Jeon; Chisaka Kuehnemann; Therese Payne; Chirag Rao; Anja Holtz; Samah Shah; Vagisha Sharma; Luigi Ferrucci; Judith Campisi; Birgit Schilling,PLoS Biology,article,1312,10.1371/journal.pbio.3000599,https://openalex.org/W3000364256
2020,Skyline for Small Molecules: A Unifying Software Package for Quantitative Metabolomics,Kendra J. Adams; Brian Pratt; Neelanjan Bose; Laura G. Dubois; Lisa St. John‐Williams; Kevin M. Perrott; Karina Ky; Pankaj Kapahi; Vagisha Sharma; Michael J. MacCoss; M. Arthur Moseley; Carol A. Colton; Brendan MacLean; Birgit Schilling; J. Will Thompson; Alzheimer’s Disease Metabolomics Consortium,Journal of Proteome Research,article,637,10.1021/acs.jproteome.9b00640,https://openalex.org/W3003572520
2020,Audit logs to enforce document integrity in Skyline and Panorama,Tobias Rohde; Rita Chupalov; Nicholas Shulman; Vagisha Sharma; Josh Eckels; Brian Pratt; Michael J. MacCoss; Brendan MacLean,Bioinformatics,article,5,10.1093/bioinformatics/btaa547,https://openalex.org/W3030308483
2020,The HUPO-PSI standardized spectral library format,"Ralf Gabriels; Nuno Bandeira; Wout Bittremieux; Jeremy Carver; Chambers, Matthew; Shin Kawano; Henry Lam; Tytus D. Mak; Yasset Pérez‐Riverol; Benjamin J Pullman; Vagisha Sharma; Jim Shofstahl; Tim Van Den Bossche; Juan Antonio Vizcaíno; Yunping Zhu; Eric W. Deutsch",Ghent University Academic Bibliography (Ghent University),conference-paper,0,10.5281/zenodo.3607178,https://openalex.org/W3002003161
2019,The ProteomeXchange consortium in 2020: enabling ‘big data’ approaches in proteomics,Eric W. Deutsch; Nuno Bandeira; Vagisha Sharma; Yasset Pérez‐Riverol; Jeremy Carver; Deepti J Kundu; David García‐Seisdedos; Andrew F. Jarnuczak; Suresh Hewapathirana; Benjamin Pullman; Julie Wertz; Zhi Sun; Shin Kawano; Shujiro Okuda; Yu Watanabe; Henning Hermjakob; Brendan MacLean; Michael J. MacCoss; Yunping Zhu; Yasushi Ishihama; Juan Antonio Vizcaíno,Nucleic Acids Research,article,778,10.1093/nar/gkz984,https://openalex.org/W2986041539
2019,A Proteomic Atlas of Senescence-Associated Secretomes for Aging Biomarker Development,Nathan Basisty; Abhijit Kale; Ok‐Hee Jeon; Chisaka Kuehnemann; Therese Payne; Chirag Rao; Anja Holtz; Samah Shah; Vagisha Sharma; Luigi Ferrucci; Judith Campisi; Birgit Schilling,bioRxiv (Cold Spring Harbor Laboratory),preprint,111,10.1101/604306,https://openalex.org/W2937477596
2019,piNET: a versatile web platform for downstream analysis and visualization of proteomics data,Behrouz Shamsaei; Szymon Chojnacki; Marcin Pilarczyk; Mehdi Fazel Najafabadi; Chuming Chen; Karen Ross; Andrea Matlock; Jeremy L. Muhlich; Somchai Chutipongtanate; D. Vidović; Vagisha Sharma; Juozas Vasiliauskas; Jake Jaffe; Michael J. MacCoss; Cathy Wu; Ajay Pillai; Avi Ma’ayan; Stephan C. Schürer; Mario Medvedovic; Jarek Meller,bioRxiv (Cold Spring Harbor Laboratory),preprint,2,10.1101/607432,https://openalex.org/W2937896859
2018,Panorama Public: A Public Repository for Quantitative Data Sets Processed in Skyline,Vagisha Sharma; Josh Eckels; Birgit Schilling; Christina Ludwig; Jacob D. Jaffe; Michael J. MacCoss; Brendan MacLean,Molecular & Cellular Proteomics,article,286,10.1074/mcp.ra117.000543,https://openalex.org/W2793610094
